Date,Month,DayOfMonth,Time,ActivePower,GearboxBearingTemperature,GeneratorWinding1Temperature,MainBoxTemperature,WindSpeed,TurbineStatus,date,HourOfDay,TimeOfHour,TimeFromStart
2019-10-21 17:20:00+00:00,10,21,0.72,153.8049522,61.05873183,54.602665,33.87498283,4.847621978,2,2019/10/21 17:20,17,2,0
2019-10-21 17:30:00+00:00,10,21,0.73,106.640994,60.664156,54.4380815,33.81249979,4.302220837,2,2019/10/21 17:30,17,3,1
2019-10-21 17:40:00+00:00,10,21,0.74,88.60766072,59.91761565,54.02827994,33.74212469,3.724910332,2,2019/10/21 17:40,17,4,2
2019-10-21 17:50:00+00:00,10,21,0.74,109.3424581,59.90704411,53.76704478,33.63527659,4.170355378,2,2019/10/21 17:50,17,5,3
2019-10-21 18:00:00+00:00,10,21,0.75,73.8846783,59.65615871,53.54404925,33.56303357,3.885334805,2,2019/10/21 18:00,18,0,4
2019-10-21 18:10:00+00:00,10,21,0.76,24.03775811,58.52502247,53.09607415,33.48039747,3.503666467,2,2019/10/21 18:10,18,1,5
2019-10-21 18:20:00+00:00,10,21,0.76,17.50448795,57.6528353,52.69308925,33.3885573,3.335405433,2,2019/10/21 18:20,18,2,6
2019-10-21 18:30:00+00:00,10,21,0.77,15.76576908,57.0232508,52.3633604,33.2966792,3.413849833,2,2019/10/21 18:30,18,3,7
2019-10-21 18:40:00+00:00,10,21,0.78,50.03142944,56.562178,52.09575033,33.22868271,3.653443581,2,2019/10/21 18:40,18,4,8
2019-10-21 18:50:00+00:00,10,21,0.78,44.42712516,56.47301167,51.90539563,33.14583333,3.487320847,2,2019/10/21 18:50,18,5,9
2019-10-21 19:00:00+00:00,10,21,0.79,13.00603455,55.9507409,51.691844,33.1031346,3.248584037,2,2019/10/21 19:00,19,0,10
2019-10-21 19:10:00+00:00,10,21,0.8,-7.54768525,54.39670375,51.37139622,33.390625,2.740242021,2,2019/10/21 19:10,19,1,11
2019-10-21 19:20:00+00:00,10,21,0.81,-6.044532426,53.1758317,51.0433171,34.45625,2.697642021,2,2019/10/21 19:20,19,2,12
2019-10-21 19:30:00+00:00,10,21,0.81,-4.944557663,52.61410688,50.55758044,35.203125,2.303526205,1,2019/10/21 19:30,19,3,13
2019-10-21 19:40:00+00:00,10,21,0.82,-4.861137232,52.28332475,50.244199,35.5781155,2.323220921,1,2019/10/21 19:40,19,4,14
2019-10-21 19:50:00+00:00,10,21,0.83,-5.488576678,51.96569037,49.83406805,35.94629242,2.122588772,2,2019/10/21 19:50,19,5,15
2019-10-21 20:00:00+00:00,10,21,0.83,-5.117985183,51.7028968,49.461106,36.2023605,2.240433183,1,2019/10/21 20:00,20,0,16
2019-10-21 20:10:00+00:00,10,21,0.84,-5.383834105,51.512116,49.0673385,36.4030772,2.412499895,2,2019/10/21 20:10,20,1,17
2019-10-21 20:20:00+00:00,10,21,0.85,-5.368394517,51.36249976,48.6701135,36.55425413,2.380299878,2,2019/10/21 20:20,20,2,18
2019-10-21 20:30:00+00:00,10,21,0.85,-4.95507776,51.1645918,48.2430871,36.6975094,2.16770991,3,2019/10/21 20:30,20,3,19
2019-10-21 20:40:00+00:00,10,21,0.86,-4.671479161,50.8778265,47.99824033,36.79084688,2.189588794,1,2019/10/21 20:40,20,4,20
2019-10-21 20:50:00+00:00,10,21,0.87,-5.376928332,50.621173,47.7840367,36.8874164,2.05995989,243,2019/10/21 20:50,20,5,21
2019-10-21 21:00:00+00:00,10,21,0.88,-4.690863447,50.30811643,47.59845788,36.955553,1.554852558,512,2019/10/21 21:00,21,0,22
2019-10-21 21:10:00+00:00,10,21,0.88,-4.651418047,50.13039963,47.42106022,37,1.506316594,512,2019/10/21 21:10,21,1,23
2019-10-21 21:20:00+00:00,10,21,0.89,-4.822871337,50.0112754,47.1970402,37.0270868,1.785489384,392,2019/10/21 21:20,21,2,24
2019-10-21 21:30:00+00:00,10,21,0.9,-5.163389747,49.89484188,46.97983222,37.0625,1.999236747,285,2019/10/21 21:30,21,3,25
2019-10-21 21:40:00+00:00,10,21,0.9,-4.560820437,49.92560338,46.73738933,37.0625,2.006742004,1,2019/10/21 21:40,21,4,26
2019-10-21 21:50:00+00:00,10,21,0.91,-5.334168818,49.74336156,46.50853856,37.0625,1.564282265,512,2019/10/21 21:50,21,5,27
2019-10-21 22:00:00+00:00,10,21,0.92,-4.601399958,49.5000498,46.3123865,37.0625,1.441568367,512,2019/10/21 22:00,22,0,28
2019-10-21 22:10:00+00:00,10,21,0.92,-4.664664753,49.34971188,46.11073778,37.0625,1.538105211,315,2019/10/21 22:10,22,1,29
2019-10-21 22:20:00+00:00,10,21,0.93,-4.610489316,49.2454943,45.9236968,37.0095833,1.719363089,433,2019/10/21 22:20,22,2,30
2019-10-21 22:30:00+00:00,10,21,0.94,-4.565954353,49.12298763,45.73787622,37,1.545568353,427,2019/10/21 22:30,22,3,31
2019-10-21 22:40:00+00:00,10,21,0.94,-5.250345606,49.05388163,45.563958,36.97656775,1.942938778,137,2019/10/21 22:40,22,4,32
2019-10-21 22:50:00+00:00,10,21,0.95,-4.606146489,48.9812834,45.3666991,36.93668367,1.862268332,352,2019/10/21 22:50,22,5,33
2019-10-21 23:00:00+00:00,10,21,0.96,-4.823427372,48.83327125,45.17168367,36.890625,1.466916617,512,2019/10/21 23:00,23,0,34
2019-10-21 23:10:00+00:00,10,21,0.97,-4.699342245,48.70328275,44.99942811,36.8671875,1.41036492,512,2019/10/21 23:10,23,1,35
2019-10-21 23:20:00+00:00,10,21,0.97,-4.576595721,48.52743333,44.8102107,36.80449,1.318836809,512,2019/10/21 23:20,23,2,36
2019-10-21 23:30:00+00:00,10,21,0.98,-4.731034759,48.40817633,44.6328153,36.75,1.132670516,512,2019/10/21 23:30,23,3,37
2019-10-21 23:40:00+00:00,10,21,0.99,-4.557760689,48.28717943,44.4522845,36.71443457,1.044127724,512,2019/10/21 23:40,23,4,38
2019-10-21 23:50:00+00:00,10,21,0.99,-4.969636189,48.21337738,44.30019522,36.6640625,1.209170522,452,2019/10/21 23:50,23,5,39
2019-10-22 00:00:00+00:00,10,22,0,-4.533078463,48.14915563,44.141586,36.625,1.539163126,512,2019/10/22 0:00,0,0,40
2019-10-22 00:10:00+00:00,10,22,0.01,-4.723821868,48.112329,43.9689199,36.5625,1.883147247,257,2019/10/22 0:10,0,1,41
2019-10-22 00:20:00+00:00,10,22,0.01,-4.509117984,48.16851475,43.80334333,36.51571463,1.997936768,1,2019/10/22 0:20,0,2,42
2019-10-22 00:30:00+00:00,10,22,0.02,-4.670575711,48.2296687,43.6303586,36.4644417,2.246110956,1,2019/10/22 0:30,0,3,43
2019-10-22 00:40:00+00:00,10,22,0.03,-5.364100839,48.29378957,43.42422813,36.4375,2.430105433,2,2019/10/22 0:40,0,4,44
2019-10-22 00:50:00+00:00,10,22,0.03,-5.396538342,48.26143557,43.2094265,36.37499943,2.216942005,2,2019/10/22 0:50,0,5,45
2019-10-22 01:00:00+00:00,10,22,0.04,-5.580176753,48.21312456,42.9852579,36.33449511,2.387436679,2,2019/10/22 1:00,1,0,46
2019-10-22 01:10:00+00:00,10,22,0.05,-5.404669756,48.16284225,42.73984589,36.28564025,2.582616583,1,2019/10/22 1:10,1,1,47
2019-10-22 01:20:00+00:00,10,22,0.06,-5.483901905,48.10702138,42.51261444,36.24186463,2.322784047,2,2019/10/22 1:20,1,2,48
2019-10-22 01:30:00+00:00,10,22,0.06,-5.874243247,47.97896533,42.2954737,36.1875,2.590389321,2,2019/10/22 1:30,1,3,49
2019-10-22 01:40:00+00:00,10,22,0.07,-5.239308811,47.95815733,42.0561683,36.17384256,2.6903332,2,2019/10/22 1:40,1,4,50
2019-10-22 01:50:00+00:00,10,22,0.08,-5.485719695,47.9056028,41.814301,36.125,2.724978832,2,2019/10/22 1:50,1,5,51
2019-10-22 02:00:00+00:00,10,22,0.08,-4.963145978,47.7949086,41.59396086,36.125,2.764527644,1,2019/10/22 2:00,2,0,52
2019-10-22 02:10:00+00:00,10,22,0.09,-5.160108689,47.78564522,41.3692964,36.08982538,2.696841958,1,2019/10/22 2:10,2,1,53
2019-10-22 02:20:00+00:00,10,22,0.1,-5.418862374,47.7378138,41.13684695,36.0625,2.739689368,2,2019/10/22 2:20,2,2,54
2019-10-22 02:30:00+00:00,10,22,0.1,-5.763768168,47.70550254,40.91502664,36.07694808,2.574184063,2,2019/10/22 2:30,2,3,55
2019-10-22 02:40:00+00:00,10,22,0.11,-5.710351763,47.6441835,40.6636123,36.125,2.687289368,2,2019/10/22 2:40,2,4,56
2019-10-22 02:50:00+00:00,10,22,0.12,-5.690001406,47.59331663,40.41928922,36.14846038,2.870438783,2,2019/10/22 2:50,2,5,57
2019-10-22 03:00:00+00:00,10,22,0.13,-6.004359768,47.5360331,40.17421009,36.1872875,2.765641989,2,2019/10/22 3:00,3,0,58
2019-10-22 03:10:00+00:00,10,22,0.13,-5.551466371,47.4570105,39.9853061,36.25632425,2.3172175,2,2019/10/22 3:10,3,1,59
2019-10-22 03:20:00+00:00,10,22,0.14,-4.749288974,47.2189307,39.8562889,36.3374422,1.756105204,308,2019/10/22 3:20,3,2,60
