Date,Month,DayOfMonth,ActivePower,GearboxBearingTemperature,GeneratorWinding1Temperature,MainBoxTemperature,WindSpeed,HourOfDay,TimeOfHour,TimeFromStart
2019-11-01 12:00:00+00:00,11,1,288.3766844,59.334479,61.60818044,39.06530889,5.376249817,12,0,1552
2019-11-02 12:00:00+00:00,11,2,32.95848653,54.46267057,49.64505163,42.04263571,3.452420921,12,0,1696
2019-11-03 12:00:00+00:00,11,3,229.5000258,63.0160675,60.58266189,40.875306,4.628478726,12,0,1840
2019-11-04 12:00:00+00:00,11,4,-4.760550378,46.7357672,43.4141775,44.5878491,1.366210484,12,0,1984
2019-11-05 12:00:00+00:00,11,5,142.1860464,56.72902986,54.0526835,40.69513913,4.398194239,12,0,2128
2019-11-06 12:00:00+00:00,11,6,2.714468458,52.24956043,49.27014063,39.65163743,2.909331437,12,0,2272
2019-11-07 12:00:00+00:00,11,7,-4.934858205,47.46169978,41.7552129,45.07000556,1.846973574,12,0,2416
2019-11-08 12:00:00+00:00,11,8,,49.1789388,45.2864578,45.2190892,,12,0,2560
2019-11-09 12:00:00+00:00,11,9,,,,,,12,0,2704
2019-11-10 12:00:00+00:00,11,10,255.6937721,62.38054533,61.9896467,42.40277778,4.894547179,12,0,2848
2019-11-11 12:00:00+00:00,11,11,268.2058417,60.32069925,56.13266233,40.15959313,4.797421944,12,0,2992
2019-11-12 12:00:00+00:00,11,12,151.9726396,64.4509022,59.8985623,40.9166748,4.111978774,12,0,3136
2019-11-13 12:00:00+00:00,11,13,581.846515,68.73969667,67.3505666,41.07407078,6.0339998,12,0,3280
2019-11-14 12:00:00+00:00,11,14,584.0905582,66.2139975,67.315537,35.4375,5.770472536,12,0,3424
2019-11-15 12:00:00+00:00,11,15,449.8344658,66.96784073,69.12963408,36.73868455,5.3994893,12,0,3568
2019-11-16 12:00:00+00:00,11,16,-6.278183986,59.11390563,58.45190363,38.01587738,4.070242657,12,0,3712
2019-11-17 12:00:00+00:00,11,17,296.8483278,61.667298,59.32697655,40.25507409,4.892160972,12,0,3856
2019-11-18 12:00:00+00:00,11,18,372.7536142,66.1329674,64.5840161,40.51394,5.475931453,12,0,4000
2019-11-19 12:00:00+00:00,11,19,139.7689339,59.730822,55.16216622,35.202359,4.185573463,12,0,4144
2019-11-20 12:00:00+00:00,11,20,436.9506039,66.65880852,68.34029118,39.62206191,5.852788639,12,0,4288
2019-11-21 12:00:00+00:00,11,21,307.3900967,65.25194188,63.01983167,40.203125,5.217415542,12,0,4432
